"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"dkL@P@|E|BbHRHRHPXjjjj@@ !B?g~H@k\B@O{~_w?~?XbH@`Jwm?w~_{\B","Bis(1,1-dimethylethyl)[(dimethylphosphino)methyl]phosphine","64065-09-4","C11H26P2","220.27","methylene bridge","","Chemische Berichte (1993), 126(11), 2379-82<NL>Chemische Berichte (1984), 117(3), 1103-12<NL>Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1979), 34B(1), 31-43<NL>Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1977), 32B(7), 762-7","","WAZJOW (Mo)","MB-9","Opt, SPE, NoRh",""
"dkL@P@|N|LdbdSbdjjjjPEt@ !Bm?rH?Oy??[^w@orHbOvH?Oy?@k^H@ovH","(1R,1′R)-1,1′-Methylenebis[1-(1,1-dimethylethyl)-1-methylphosphine]","224618-29-5","C11H26P2","220.27","methylene bridge","","Tetrahedron (2015), 71(37), 6471-6480<NL>Chemical Science (2015), 6(7), 3994-4008<NL>Organic Letters (2009), 11(11), 2245-2248<NL>Science of Synthesis (2009), 42, 109-154<NL>Science of Synthesis (2006), 20b, 1131-1202<NL>Chirality (2002), 14(5), 386-392<NL>Organic Letters (2001), 3(11), 1701-1704<NL>Organometallics (2001), 20(3), 545-549<NL>Advanced Synthesis & Catalysis (2001), 343(1), 118-136<NL>Journal of Organic Chemistry (1999), 64(9), 2988-2989","","QIXFIM, QIXFIM01, QUKYEC (Rh)","MB-10","Opt, SPE, SPE_NoRh",""
"dgn@PJCpKprRJIJJEUUUUP@@ !BbOvw?_x@b@K~_{\BmpK~@Hc}bOvw?X`Bb@H","1,1-Bis(diethylphosphino)-N,N-dimethylmethanamine","40207-89-4","C11H27NP2","235.29","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1111/cbdd.13439","Chemical Biology & Drug Design (2019), 93(6), 1197-1206","","0 structures","MS-71","Opt, SPE, NoRh","Methanamine, 1,1-bis(diethylphosphino)-N,N-dimethyl-"
"dg|@P@|F|LdbbbRTOBmuATEDHGB\@@ !Bm?sPtdz?m?w~@J[@UKo@f[_|m?q`FkmT?`@","Phospholane, 2-(dimethylphosphino)-1-phenyl-, cis-","154113-85-6","C12H18P2","224.22","monosubstituted C-bridge","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.199317351","Angew. Chem., Int. Ed. Engl., 1993, 32(12), 1735-7","","0 structures","MS-1","Opt, SPE, NoRh",""
"do\@H@|B\J\F|DjYzZZjjjjhB`@ !BbOvw?_x@?g~H@k\B?g|@?g?~b@K}bOrw?`Bw?P","Phosphine, [bis(trimethylsilyl)methyl][(dimethylphosphino)methyl]methyl-","153789-06-1","C11H30P2Si2","280.47","methylene bridge","https://www.degruyter.com/document/doi/10.1515/znb-1993-1111/html","Zeitschrift fuer Naturforschung, B: Chemical Sciences (1993), 48(11), 1533-43","","0 structures","MB-11","Opt, SPE, NoRh",""
"do\@P@|A|Ldbbb\TTjjjjh@@ !BkSBw?Xc}[Na?Koy?mpJH@hc}dcBH@oy?@BxSz@","1,1′-Methylenebis[1,1-bis(1-methylethyl)phosphine]","63366-53-0","C13H30P2","248.33","methylene bridge","","32 references","","8 structures<NL>CAHRAF (Pt), CIFREQ, GALYIB (Rh), ETACOR, ETACUX, ISOZUL, YELMUY (Ni), XAPKII (Ru)","MB-12","Opt, SPE, NoRh",""
"do\@P@|B|LdbRTRRJjjjjh@@ !B?g~H?K_|bOw~@K_}b@K~_xc|m?rH?[_}b@K~_p","Phosphine, methylenebis[dipropyl-","686353-30-0","C13H30P2","248.33","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X12007097?via%3Dihub<NL>https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.200300683","Journal of Organometallic Chemistry (2013), 725, 11-14<NL>Science of Synthesis (2009), 42, 109-154<NL>European Journal of Organic Chemistry (2004), (5), 1043-1048","","0 structures","MB-13","Opt, SPE, NoRh",""
"do\BPHRUCp[prRIIIPiJjjjj`@ !B?g~H@k\Bm?vH?_x@?g~H@hc|m?s~@K_}bOrw?@","P,P,P′,P′-Tetraethyl P,P′-methylenebis[phosphonite]","63366-56-3","C9H22O4P2","256.22","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/1987/dt/dt9870002117","15 references","7298","8 structures<NL>(0 monochelated)","MB-14","Opt, SPE, NoRh",""
"foA@A@@^COCIHddeBdbTtZiZjVj@@ !BSg}Ptg_|PEeT^w_}tb|@Sb?RLW|k^s}Y_t{MKp","1,1′-Methylenebis[3,4-dimethyl-1H-phosphole]","106232-17-1","C13H18P2","236.23","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-009-00661<NL>https://pubs.acs.org/doi/abs/10.1021/om00146a025","Science of Synthesis (2002), 9, 553-600<NL>Organometallics (1987), 6(3), 586-91","","0 structures","MB-15","Opt, SPE, NoRh",""
"f`~@A@@^Bo@hbDbDbDFDbJjjjjhJP@ !B?g~H@k\B_?{~_pC~@k^H@gvHmwvw@oy?_[^w@orH","Bis(1,1-dimethylethyl)[[(S)-(1,1-dimethylethyl)methylphosphino]methyl]phosphine","705945-66-0","C14H32P2","262.35","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.orglett.6b00212<NL>https://doi.org/10.1016/j.tetasy.2011.07.021<NL>https://pubs.rsc.org/en/content/articlelanding/2015/sc/c5sc00929d<NL>https://pubs.acs.org/doi/10.1021/ja048496y","Organic Letters (2016), 18(6), 1290-1293<NL>Tetrahedron: Asymmetry (2011), 22(12), 1328-1331<NL>Chem. Sci., 2015,6, 3994-4008 <NL>Journal of the American Chemical Society (2004), 126(19), 5966-5967","","BEWPEZ (Rh)","MB-16","Opt, SPE, SPE_NoRh",""
"fha@A@@^Bo@hbDbDbDFDaHjjjjj`@@ !B?g~H@k\B_?{~_pC~?K^H@ovHm?w~_{\BbOvw?_x@m?t","Phosphine, [[bis(1,1-dimethylethyl)phosphino]methyl]bis(1-methylethyl)-","235422-56-7","C15H34P2","276.38","methylene bridge","https://pubs.acs.org/doi/10.1021/om200715w<NL>https://doi.org/10.1055/sos-SD-042-00106<NL>https://pubs.rsc.org/en/content/articlelanding/2003/nj/b210114a","Organometallics (2012), 31(1), 207-224<NL>Science of Synthesis (2009), 42, 109-154<NL>New Journal of Chemistry (2003), 27(3), 540-550<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876","","MAQNEZ, MAQPAX, MAQPOL (Ni)","MB-18","Opt, SPE, NoRh",""
"fhi@A@@^@oAJfYUV]WcAj@H@h@@@ !B?g~H@k\BbGvw_Xa}?`Bw__y??g~H@h`B?g~w@k]}?`@","[(Dimethylphosphino)methyl]diphenylphosphine","62263-64-3","C15H18P2","260.25","methylene bridge","","14 references","","JUWKIX, JUWLOE (Re)","MB-19","Opt, SPE, NoRh",""
"fhi@A@@^COCIHhleEhTaZ|FhHJ@@A@Dr@@ !BbOrw?Oy?bOw~@K_}bOrH@k_|?g?~@K_}?`Bw?K\B?`@","Phosphine, methylenebis[methylphenyl-, (1R,1′R)-","224618-30-8","C15H18P2","260.25","methylene bridge","https://pubs.acs.org/doi/10.1021/jo990131m","Journal of Organic Chemistry (1999), 64(9), 2988-2989","","0 structures","MB-20","Opt, SPE, SPE_NoRh",""
"fhi@A@@^COCIHhleEhTaZ|Fjjjjji@Dr@@ !BbOrw?Oy?bOw~@K_}bOrH@k_|?g?~@K_}?`Bw?K\B?`@","Phosphine, methylenebis[cyclohexylmethyl-, (1R,1′R)-","224618-28-4","C15H30P2","272.35","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>https://onlinelibrary.wiley.com/doi/10.1002/chir.10099<NL>https://pubs.acs.org/doi/10.1021/jo990131m","Science of Synthesis (2009), 42, 109-154<NL>Chirality (2002), 14(5), 386-392<NL>Journal of Organic Chemistry (1999), 64(9), 2988-2989","","0 structures","MB-21","Opt, SPE, SPE_NoRh",""
"fhypA@JLxCpIxITrlssLUsWCUUUUUUP@@ !BStWjlBqsG?x@iPBe@JW]y}whzg@l\rqspn\_?a?~pn`","6-[Bis(1-methylethyl)phosphino]-1,3,5-triaza-7-phosphatricyclo[3.3.1.13,7]decane","1703834-74-5","C12H25N3P2","273.29","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S002016931500167X?via%3Dihub","Inorganica Chimica Acta (2015), 431, 248-257","","XUHPOH (W), XUHQIC (Ru), XUHQAU (free ligand), XUHQEY (free oxide)","MS-72","Opt, SPE, NoRh","1,3,5-Triaza-7-phosphatricyclo[3.3.1.13,7]decane, 6-[bis(1-methylethyl)phosphino]-"
"fdePA@HHAxB|LdbbbcbTJQFZLFMUUUP@THppI`@ !Bs}ITaJ[_ShBw?_vH`CGPsRn{bOpqopJw?`BH?X`BbOrH?P","1,3,2-Diazaphospholidine, 1,3-dimethyl-2-(1-phenyl-2-phospholanyl)-, cis-","168204-56-6","C14H22N2P2","280.29","monosubstituted C-bridge","https://pubs.acs.org/doi/abs/10.1021/ja00136a005","Journal of the American Chemical Society (1995), 117(31), 8083-9","","ZAWCIJ (free ligand)","MS-2","Opt, SPE, NoRh",""
"fdq`Q@NPPkPOAgaddRTRTTJJjjjjjh@@ !B?g~H@k\BbOvH?[_}?`C~_x`B?g~w@k\Bb@Jw?[_}?g~w@`","Phosphonous acid, [(dimethylamino)methylene]bis-, tetraethyl ester","137910-31-7","C11H27NO4P2","299.28","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.20552","Heteroatom Chemistry (2009), 20(6), 319-324","","KISROT (oxide bimetallic, Sn)","MS-73","Opt, SPE, NoRh","Phosphonous acid, [(dimethylamino)methylene]bis-, tetraethyl ester"
"fle@A@@^@oAJfYUV_U^LFh@`B`h@@@ !B_?{|bOrw_[]}bOvH@Ox@?g?~_?{|b@JH@h`BmwvH@Ox@?gvw","Phosphine, [(diphenylphosphino)methyl]diethyl-","68861-75-6","C17H22P2","288.30","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/om00072a022<NL>-<NL>","Organometallics (1982), 1(12), 1667-70<NL>Tetrahedron Letters (1978), (30), 2689-92","","0 structures","MB-22","Opt, SPE, NoRh",""
"fli@A@@^@oCIHhhemCEEjjjjjj`@@ !B^bA??`JwfzP`^gvw_X`@?gh`_?xBm~al_[\@?cBmTP@Bm~al","Phosphine, methylenebis[bis(1-methylpropyl)-","75668-09-6","C17H38P2","304.43","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>-","Science of Synthesis (2009), 42, 109-154<NL>Zhurnal Obshchei Khimii (1980), 50(8), 1881-2","","0 structures","MB-23","Opt, SPE, NoRh",""
"fli@A@@^AOCIHdeDdddbjjjjjj`@@ !BmpJH@oy??`BH_[]}b@Jw@h`B?g?~@K]}bGvw_X`BmpK~@K]}","Phosphine, methylenebis[dibutyl-","4141-58-6","C17H38P2","304.43","methylene bridge","-<NL>-","Zeitschrift fuer Naturforschung (1965), 20b(8), 810-11<NL>Zhurnal Obshchei Khimii (1965), 35(9), 1602-6","","0 structures","MB-24","Opt, SPE, NoRh",""
"fli@A@@^AOCIHdeEEDgEJjjYjY`@@ !B?g~H?K_|m?vH?_x@?g~w@hc|?g~H?K_|bOvw?_y?bOrw@oy?","Phosphine, methylenebis[bis(2-methyl-2-propenyl)-","119003-85-9","C17H30P2","296.37","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>-","Science of Synthesis (2009), 42, 109-154<NL>Chemische Berichte (1988), 121(12), 2121-5","","0 structures","MB-25","Opt, SPE, NoRh",""
"fli@A@@^Bo@hbDbDbDFDbDbJjjjjj`@@ !Bc{rz_{B|oKBOoHNOng|@ng~ElHNpoKi?oH~poHNp_xVz_pBz","1,1′-Methylenebis[1,1-bis(1,1-dimethylethyl)phosphine","87648-10-0","C17H38P2","304.43","methylene bridge","","18 references","","90 structures (Ru, Pt, Rh, Ni, Pd, Ir)","MB-26","Opt, SPE, NoRh",""
"fli@Ap@^AIBd`rPyHBdIRBoBt`zP}HAdHrBY@hbDbDbDFDbDbJjjjjj`@@ !BmpK~_x`B?`Bw@k_}m?w~_xc}bOvH@oy??`BH@hc}_?{~_pC~","1,1′-Methylenebis[1,1-bis(trifluoromethyl)phosphine]","116531-61-4","C5H2F12P2","352.00","methylene bridge","https://pubs.acs.org/doi/10.1021/om700840h<NL>https://pubs.acs.org/doi/abs/10.1021/ic00295a029","Organometallics (2008), 27(7), 1372-1383<NL>Inorganic Chemistry (1988), 27(22), 4038-45<NL>Chemisches Zentralblatt (1967), 138(35), 70-70","","0 structures","MB-27","Opt, SPE, NoRh",""
"fli@B`@^AOBc`qp|xEDPbHdIDIDILQUUUUUU@e@@ !B_Xa}mpC~_?xBmpJH_Xa}mpJwmwvH@orHbGvw@g?~_?{~@Oy?","2,2,4,8,8-Pentamethyl-6-[(trimethylsilyl)methyl]-4,6-diphospha-2,8-disilanonane","87648-06-4","C14H38P2Si3","352.66","methylene bridge","-","Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie (1983), 38B(8), 1027-30","","0 structures","MB-28","Opt, SPE, NoRh",""
"fli@Q@HHtXG`sprRIIQQQiQRjjjjjh@@ !BbOrw?Oy?bOw~@K_}?g~H?K_|bOrw@oy?m?vH?_y?mpJH?Oy?","P,P,P′,P′-Tetrakis(1-methylethyl) P,P′-methylenebis[phosphonite]","63366-57-4","C13H30O4P2","312.32","methylene bridge","","18 references","","ISPOMO (Mo)","MB-29","Opt, SPE, NoRh",""
"fliAA@J@|B^FRQRIJKIIEUUUUUU@@@ !BmpK~_x`BmpHBbGvwbGvH__x@mwt@?oy?b@Jw@k\B@hc~@K]}","Phosphine, (1-ethoxyethylidene)bis[dipropyl-","126129-11-1","C16H36OP2","306.40","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.21024","Heteroatom Chemistry (2012), 23(4), 352-372","","0 structures","DS-36","Opt, SPE, NoRh<NL>","Phosphine, (1-ethoxyethylidene)bis[dipropyl-"
"flm@Q@HHdhG`sprRIIIQIHiHeMFlzJZj`hJ@@@@@ !BShCPs[]}pJYTaK\B@h`@?cF@s|t@?`JHwzXkaGvH_?y??ovH","2,2′-Methylenebis[1,3,2-benzodioxaphosphole]","129195-15-9","C13H10O4P2","292.16","methylene bridge","https://pubs.acs.org/doi/abs/10.1021/ic00344a049","Inorganic Chemistry (1990), 29(19), 3896-8","","0 structures","MB-30","Opt, SPE, NoRh",""
"flu@A@@^GOAJfgUf^iVTyWjjjjjjjd@WH@ !BvJKGhoyO^Gt@_jDpqyvdtjSRiMKGhoyO@GzaLJDpg\_GhjKX","Phosphine, (1,1-dimethylethyl)methyl[[(R)-methyltricyclo[3.3.1.13,7]dec-1-ylp...","450372-84-6","C17H32P2","298.38","methylene bridge","https://onlinelibrary.wiley.com/doi/10.1002/chir.10099","Chirality (2002), 14(5), 386-392","","0 structures","MB-31","Opt, SPE, SPE_NoRh",""
"fbu@A@@^COCIHhmEEEYdmJr\uADU@P@H@fP@ !Bm?rH?Oy??`Bw?Xc}mpJH@k_|?g~H?Oy?m?vH?_x@mpJH?H`B?`@","Phosphine, methyl[[(R)-methylphenylphosphino]methyl](2,4,6-trimethylphenyl)-,...","449730-09-0","C18H24P2","302.33","methylene bridge","https://pubs.acs.org/doi/10.1021/jo020130l","Journal of Organic Chemistry (2002), 67(15), 5239-5249","","0 structures","MB-32","Opt, SPE, SPE_NoRh",""
"fby@Ap@^AIBd`rPyHBdIRBoAtazPCHQdDrFY@hbDbDbD`XrHRHjjjjjj`@@ !B?g~H@k\B@O{~_w?~?`BH@hc}m?w~@K\B?g~w?[\B?`BH?_y?m?t","Phosphine, ethylidenebis[bis(trifluoromethyl)-","116531-62-5","C6H4F12P2","366.02","monosubstituted C-bridge","https://pubs.acs.org/doi/abs/10.1021/ic00295a029","Inorganic Chemistry (1988), 27(22), 4038-45","","0 structures","MS-3","Opt, SPE, NoRh",""
"fjchA@JLxJPO@gaddTRTTVbefcE\ups`uUUUUUUU@@@ !BSztHOSxpnrmlDFpP[AANo}~fBCt~LCxpbGwOs\wP_[_~_x`BotxlF@","6-[1,3-Bis(1-methylethyl)-1,3,2-diazaphospholidin-2-yl]-1,3,5-triaza-7-phosph...","1703834-75-6","C14H29N5P2","329.36","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S002016931500167X?via%3Dihub","Inorganica Chimica Acta (2015), 431, 248-257","","XUHPUN (free), XUHQOI (oxide)","MS-74","Opt, SPE, NoRh","1,3,5-Triaza-7-phosphatricyclo[3.3.1.13,7]decane, 6-[1,3-bis(1-methylethyl)-1,3,2-diazaphospholidin-2-yl]-"
"fje@A@@^GOCIHiEcEHiFYJjjjjjjPA\`@ !BmwvH__x@_Xbw__rwb@I??ha}?`@BbGvH_[\BbGvwbGt@?gvH@h`Bmp","(1R,1′R)-1,1′-Methylenebis[1-methyl-1-(1,1,3,3-tetramethylbutyl)phosphine]","1245835-94-2","C19H42P2","332.49","methylene bridge","https://doi.org/10.1016/j.tetasy.2010.03.025","Tetrahedron: Asymmetry (2010), 21(11-12), 1522-1528","","0 structures","MB-33","Opt, SPE, SPE_NoRh",""
"fje@Ap@^AIBd`rPyHBdIRBoCt`FPcHIdLrAY@hbDbDbDbA`haHbjjjjjj`@@ !Bm?w~@Hc}?g~w?[\BmpK~@H`BH@W|b@U_^e~diIn[^e|`APT`iJP`AP","Phosphine, (1-methylethylidene)bis[bis(trifluoromethyl)-","116531-63-6","C7H6F12P2","380.05","disubstituted","https://pubs-acs-org.sire.ub.edu/doi/abs/10.1021/ic00295a029","Inorganic Chemistry (1988), 27(22), 4038-45","","0 structures","DS-2","Opt, SPE, NoRh<NL>",""
"fjeAA@J@|B^FRQRIJKIIEHuUUUUUT@@ !B@ha??`Jw?Hbw?Hc}?[_}m?vH@Ozw?W?~@k_|b@JHm?s}b@C~m?vw?@","Phosphine, (1-butoxyethylidene)bis[dipropyl-","126129-12-2","C18H40OP2","334.46","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.21024","Heteroatom Chemistry (2012), 23(4), 352-372","","0 structures","DS-37","Opt, SPE, NoRh","Phosphine, (1-butoxyethylidene)bis[dipropyl-"
"fjm@A@@^@oAJfYUV_fUxpZ`B@JBj@@@ !Bdd~H@k\B@EDSyxa}?`Bw_YIOdd~H@h`BmpK~_qOg?`C~@K]}bGvw_P","[[Bis(1-methylethyl)phosphino]methyl]diphenylphosphine","62263-67-6","C19H26P2","316.36","methylene bridge","","10 references","","XAPKEE (Ru), YELNAF (Ni)","MB-34","Opt, SPE, NoRh",""
"fjm@A@@^@oAJfYUV_fUxpZjjjjjjh@@ !Bdd~H@k\B@EDSyxa}?`Bw_YIOdd~H@h`BmpK~_qOg?`C~@K]}bGvw_P","[[Bis(1-methylethyl)phosphino]methyl]dicyclohexylphosphine","211322-61-1","C19H38P2","328.45","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>-<NL>https://pubs.acs.org/doi/10.1021/om980062m","Science of Synthesis (2009), 42, 109-154<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876<NL>Organometallics (1998), 17(15), 3210-3221","","BIJPEP (Ru)","MB-35","Opt, SPE, NoRh",""
"fjm@A@@^@oCIHhhddeElbe^LFh@`B`j`@@ !B@ha??`Jw_X`@?gvw_X`@?`JH@ha??g?~@h`BmpC~_X`@?gvw@h`Bmp","Phosphine, [(dipropylphosphino)methyl]diphenyl-","68861-76-7","C19H26P2","316.36","methylene bridge","-","Tetrahedron Letters (1978), (30), 2689-92","","0 structures","MB-37","Opt, SPE, NoRh",""
"fjm@A@@^COCIHhddhehbdiVRVhJBdBA@@@ !Bb@Jw@oy?bOw~@K_}bOvH@h`BmpK~_?y??`Bw?_x@m?vw@k\B?g?~@@","Phosphine, methylenebis[phenyl-2-propenyl-","103457-48-3","C19H22P2","312.33","methylene bridge","-","Chemische Berichte (1986), 119(9), 2832-42","","0 structures","MB-38","Opt, SPE, NoRh",""
"fjuPA@CVAxD|LdbbbbbcbbTSfjjjfjjd@@ !BmwvRLHa}?g}oJaOh@B{~_x`Bmwulyq]cQZC~_{\BkT|@Kl^L_}zLv@","2-[Bis[bis(1-methylethyl)phosphino]methyl]-1-methyl-1H-imidazole","355409-17-5","C17H34N2P2","328.41","monosubstituted C-bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>https://www.sciencedirect.com/science/article/abs/pii/S0277538701007665?via%3Dihub","Science of Synthesis (2009), 42, 109-154<NL>Polyhedron (2001), 20(9-10), 1071-1078","","0 structures","MS-4","Opt, SPE, NoRh",""
"fju`A@C@|B^FRQQQQQQqQIyKUUUPUP@@@ !B_X`pkWvw@ha??by?zFq??`Jw_X`pdgvH_[\BbG?~zALn@G?~_?y}mp","2-[Bis[bis(1-methylethyl)phosphino]methyl]pyridine","237763-64-3","C18H33NP2","325.41","monosubstituted C-bridge","https://doi.org/10.1016/S0020-1693(01)00721-6<NL>https://link.springer.com/article/10.1007/PL00010260","Inorganica Chimica Acta (2002), 328, 232-236<NL>Monatshefte fuer Chemie (1999), 130(6), 783-794","","XOWHIA (Pd)","MS-5","Opt, SPE, NoRh",""
"fju`Q@NPPkPOAgaddRTRTTJRRTRuUUUUUU@@@ !B?`Bw?Xc}mpJw@h`B?g?~@K_}bOw~@Hc}m?vH@h`B?g?~_xc}?`Bw?P","Phosphonous acid, (1-piperidinylmethylene)bis-, tetraethyl ester","137910-32-8","C14H31NO4P2","339.35","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.20552","Heteroatom Chemistry (2009), 20(6), 319-324","","0 structures","MS-75","Opt, SPE, NoRh","Phosphonous acid, (1-piperidinylmethylene)bis-, tetraethyl ester"
"fjuaQ@NPPkQP^COCIHdhdhhTddhejjjjjjj@@ !B?`Bw?Xc}mpJw@h`B?g?~@K_}bOw~@Hc}m?vH@h`B?g?~_xc}?`Bw?P","Phosphonous acid, (4-morpholinylmethylene)bis-, tetraethyl ester","137910-33-9","C13H29NO5P2","341.32","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.20552","Heteroatom Chemistry (2009), 20(6), 319-324","","0 structures","MS-76","Opt, SPE, NoRh","Phosphonous acid, (4-morpholinylmethylene)bis-, tetraethyl ester"
